U,I,T,xH2O,SCCM,xH2,xH2+xCO,Q
1.65,25081.41,1023,0.9,550,0.7513,0.8435,6.9686
1.64,24930.74,1023,0.9,550,0.7327,0.8234,6.7787
1.63,24752.18,1023,0.9,550,0.7135,0.8025,6.5852
1.62,24545.68,1023,0.9,550,0.6938,0.781,6.3885
1.61,24311.45,1023,0.9,550,0.6737,0.759,6.1888
1.6,24050.02,1023,0.9,550,0.6535,0.7367,5.9866
1.59,23762.16,1023,0.9,550,0.6331,0.7141,5.7823
1.58,23448.94,1023,0.9,550,0.6129,0.6916,5.5764
1.57,23111.65,1023,0.9,550,0.5928,0.669,5.3695
1.56,22751.81,1023,0.9,550,0.5729,0.6466,5.1621
1.55,22371.08,1023,0.9,550,0.5533,0.6244,4.9547
1.54,21971.28,1023,0.9,550,0.5341,0.6025,4.7479
1.53,21554.31,1023,0.9,550,0.5154,0.5809,4.5423
1.52,21122.16,1023,0.9,550,0.497,0.5597,4.3383
1.51,20676.81,1023,0.9,550,0.4791,0.539,4.1366
1.5,20220.3,1023,0.9,550,0.4618,0.5188,3.9376
1.49,19754.58,1023,0.9,550,0.4449,0.4991,3.7418
1.48,19281.61,1023,0.9,550,0.4286,0.4799,3.5494
1.47,18803.24,1023,0.9,550,0.4127,0.4613,3.361
1.46,18321.26,1023,0.9,550,0.3974,0.4433,3.1768
1.45,17837.34,1023,0.9,550,0.3826,0.4258,2.9971
1.44,17353.05,1023,0.9,550,0.3683,0.4089,2.8222
1.43,16869.86,1023,0.9,550,0.3545,0.3926,2.6522
1.42,16389.11,1023,0.9,550,0.3412,0.3769,2.4873
1.41,15912,1023,0.9,550,0.3284,0.3618,2.3277
1.4,15439.62,1023,0.9,550,0.316,0.3472,2.1733
1.39,14972.91,1023,0.9,550,0.304,0.3332,2.0244
1.38,14512.72,1023,0.9,550,0.2925,0.3197,1.8809
1.37,14059.79,1023,0.9,550,0.2814,0.3067,1.7427
1.36,13614.72,1023,0.9,550,0.2707,0.2942,1.61
1.35,13178.02,1023,0.9,550,0.2604,0.2823,1.4827
1.34,12750.11,1023,0.9,550,0.2504,0.2708,1.3607
1.33,12331.34,1023,0.9,550,0.2409,0.2598,1.2439
1.32,11921.94,1023,0.9,550,0.2316,0.2492,1.1322
1.31,11522.08,1023,0.9,550,0.2227,0.2391,1.0257
1.3,11131.9,1023,0.9,550,0.2141,0.2294,0.9241
1.29,10751.43,1023,0.9,550,0.2059,0.22,0.8274
1.28,10380.69,1023,0.9,550,0.1979,0.2111,0.7354
1.27,10019.63,1023,0.9,550,0.1902,0.2025,0.6481
